Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Чеснок,1172,607,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2014-03-04,2022-06-01,1.18:,Sold
2,Пастернак,6916,583,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2022-03-07,2029-10-03,0.59:,Sold
3,Каша из дробленного риса,9967,659,Бакалея,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2002-06-06,2027-01-17,1.71:,Delivered
4,Топинамбур,7274,474,Овощи,Может быть использован в выпечке для придания ей особой пышности и аромата.,1996-09-13,2001-06-14,4.29:,Shipping
5,Геркулес,1491,920,Бакалея,Является важным компонентом рациона для поддержания гормонального баланса.,2014-01-01,2018-01-01,4.02:,Pending
6,Куриные ножки,1685,782,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1993-01-01,2028-03-23,1.65:,Refunded
7,Анапская,7492,888,Напитки,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2018-09-04,2021-01-13,2.74:,Sold
8,Редис,713,989,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,2022-06-02,2024-06-11,4.18:,Pending
9,Кокос,1651,437,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2005-05-05,2029-04-27,2.86:,Awaiting Review
10,Молочный шоколад,2876,523,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2014-02-10,2026-05-02,2.86:,Out of Stock
11,Массандра,3172,852,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2018-01-17,2019-03-02,3.23:,Available for Pickup
12,Топлёное молоко,5916,662,Молочные продукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2008-01-10,2008-01-18,3.07:,Temporarily Unavailable
13,Яблоко,4453,714,Фрукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2012-01-07,2012-02-03,3.72:,Temporarily Unavailable
14,Пастрома,188,611,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-04-08,2010-01-21,4.71:,Available for Pickup
15,Пепперони,9538,734,Мясо,"Обладает мягким вкусом, который нравится многим потребителям.",2004-01-05,2025-02-20,2.79:,Out of Stock
16,Пакеты для семинара,9762,64,Товары для дома,Помогает поддерживать нормальный уровень гемоглобина в крови.,2020-01-19,2021-05-20,0.02:,Backorder
17,Шелковица,3215,846,Фрукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2012-07-08,2028-02-08,1.47:,Cancelled
18,Йогурт,4668,967,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1993-03-24,2026-01-22,1.39:,Out of Stock
19,Орловская,5050,209,Напитки,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2000-02-07,2030-07-01,2.99:,Temporarily Unavailable
20,Цветная капуста,7639,256,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2019-08-12,2025-02-08,4.42:,Cancelled
21,Щавель,6671,798,Овощи,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2008-11-17,2028-07-09,2.71:,Shipping
22,Айран,2646,198,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2018-03-14,2024-05-13,1.58:,Shipping
23,Каша из дробленной ячневой крупы,4259,542,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2003-01-09,2026-10-03,1.52:,Out of Stock
24,Пакеты для Дня смеха,1101,577,Товары для дома,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1998-06-20,2001-01-23,1.64:,Pending
25,Мандарин,940,473,Фрукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2003-01-11,2027-03-18,3.35:,Cancelled
26,Хурма,8827,142,Фрукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,2011-01-01,2019-01-17,1.85:,Awaiting Payment
27,Газированная вода,6126,576,Напитки,Помогает сохранять бодрость и активность в течение дня.,2002-11-12,2027-03-23,3.84:,Sold
28,Брокколи,9961,642,Овощи,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2006-02-07,2014-01-26,2.68:,Temporarily Unavailable
29,Тако с мясом,7562,493,Мясо,Отвечает всем современным стандартам качества и безопасности.,2005-05-10,2029-02-01,0.62:,Returned
30,Мытищинская,7106,444,Напитки,Помогает поддерживать нормальный уровень электролитов в организме.,2018-07-05,2028-06-04,3.04:,Cancelled
31,Дыня,923,34,Фрукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2018-05-04,2030-01-20,0.39:,Awaiting Payment
32,Пакеты для Пасхи,6092,186,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,1994-01-08,2021-05-01,2.99:,Awaiting Review
33,Грудинка копченая,6192,899,Мясо,Помогает сохранять бодрость и активность в течение дня.,2018-04-14,2023-01-05,2.29:,Available for Pickup
34,Простокваша,2723,865,Молочные продукты,Подходит для использования в рецептах традиционной кухни разных стран.,2001-05-01,2009-01-19,2.17:,Shipping
35,Кесадилья с мясом,2496,412,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2001-01-05,2025-01-08,3.64:,Awaiting Review
36,Балык,6566,76,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2010-06-01,2025-01-06,4.35:,Backorder
37,Орегано сушеный,6825,146,Бакалея,Отличается удобством использования и экономичностью в расходе.,2012-03-04,2026-02-20,1.97:,Backorder
38,Свекла,2410,121,Овощи,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2015-03-06,2026-01-01,2.35:,New
39,Сок ананасовый,2400,972,Напитки,Отличается высокой питательностью и способен быстро утолить голод.,2016-01-01,2018-01-10,2.86:,Backorder
40,Консервы мясные,1686,550,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,1998-02-07,2027-06-02,4.24:,In Stock
41,Бурятская,3896,714,Напитки,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2014-03-01,2017-04-12,2.48:,Pending
42,Пакет для хранения продуктов,2194,180,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,1998-06-04,2026-02-10,0.25:,In Stock
43,Кефир,6775,191,Молочные продукты,Прошел проверку на соответствие экологическим нормам и стандартам.,1990-02-04,1996-04-01,4.29:,Temporarily Unavailable
44,Блендер,8851,673,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,2017-01-08,2019-01-09,0.99:,Cancelled
45,Ветчина,4897,243,Мясо,Помогает поддерживать нормальный уровень кислотности желудка.,1998-01-02,2012-01-14,0.37:,Refunded
46,Темный шоколад,9893,417,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2008-03-01,2025-05-13,1.27:,New
47,Дыня,7625,611,Фрукты,"Отличается приятным ароматом, который усиливает аппетит.",2021-05-07,2022-01-09,4.62:,Temporarily Unavailable
48,Пакеты для обуви,3013,490,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2003-04-01,2014-01-13,2.17:,Awaiting Review
49,Банан,5796,655,Фрукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2004-01-19,2018-01-13,4.63:,Shipping
50,Чеснок,2574,907,Овощи,Отличается удобством использования и экономичностью в расходе.,1999-03-03,2023-10-09,2.77:,Pending
51,Тыква,766,246,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2016-01-05,2026-04-08,1.11:,Available for Pickup
52,Пастрома,1788,465,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2019-06-04,2026-01-02,2.05:,Cancelled
53,Бифштекс,771,654,Мясо,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1993-05-02,2002-03-03,4.47:,Awaiting Payment
54,Банан,9408,653,Фрукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2007-05-01,2028-01-09,0.84:,Refunded
55,Пакеты для кемпинга,7931,946,Товары для дома,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2013-01-04,2017-02-03,3.37:,Backorder
56,Укроп,8265,109,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2019-01-24,2026-06-07,0.14:,Refunded
57,Помело,312,801,Фрукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2005-10-10,2012-03-03,2.3:,Awaiting Review
58,Кесадилья с мясом,428,436,Мясо,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2012-07-14,2017-07-08,2.52:,Pending
59,Ивантеевская,3434,294,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2010-03-01,2018-07-03,0.51:,Out of Stock
60,Perrier,309,461,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2009-03-10,2019-05-09,1.89:,Awaiting Review
61,Томская,3743,505,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",2018-04-02,2028-03-03,1.54:,Delivered
62,Молочный коктейль,8633,993,Напитки,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2014-01-06,2024-09-10,1.08:,Awaiting Payment
63,Эмменталь,7177,436,Молочные продукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2013-03-01,2019-03-18,0.54:,Delivered
64,Пакеты для Всемирного дня воды,3960,109,Товары для дома,Придает блюдам особую нежность и насыщенность.,1999-09-13,2025-05-05,1.99:,Delivered
65,Отбивная,525,972,Мясо,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2002-01-03,2005-01-18,4.63:,On Backorder
66,Горох,6577,398,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2013-06-12,2022-04-11,3.69:,Temporarily Unavailable
67,Пакеты для выставки,3150,106,Товары для дома,Способствует нормализации обмена веществ в организме.,2009-05-02,2011-01-01,3.11:,Cancelled
68,Грейпфрут,6413,442,Фрукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2009-01-26,2029-05-07,4.35:,Refunded
69,Картофель,4024,286,Овощи,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2014-01-08,2025-01-24,2.91:,Out of Stock
70,Сметана,1817,408,Молочные продукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1997-06-08,2011-04-03,0.65:,On Backorder
71,Каша из дробленой гречихи,4994,389,Бакалея,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1993-01-11,2022-05-12,4.62:,Temporarily Unavailable
72,Пакеты бумажные,4891,944,Товары для дома,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2017-04-10,2024-01-07,1.69:,In Stock
73,Свекла,9305,722,Овощи,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2016-03-05,2027-03-02,3.34:,In Stock
74,Кондиционер для белья,5640,904,Товары для дома,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1991-01-01,2015-01-17,4.72:,Sold
75,Цветная капуста,2042,305,Овощи,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1999-08-06,2007-02-03,0.8:,On Backorder
76,Ростовская,3069,64,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2000-10-01,2029-02-14,0.23:,Temporarily Unavailable
77,Судакская,1762,5,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2010-02-22,2018-02-01,3.69:,On Backorder
78,Сырокопченая колбаса,1561,806,Мясо,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1993-06-02,2002-01-06,1.22:,In Stock
79,Кунжут черный,367,125,Бакалея,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,1997-02-03,2008-01-09,0.1:,Delivered
80,Карпаччо,9314,48,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1997-02-21,2000-01-18,1.91:,Returned
81,Каймак,3619,738,Молочные продукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2002-07-09,2011-01-07,2.48:,Shipping
82,Пакеты для хранения одежды,7092,358,Товары для дома,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2019-01-04,2023-05-01,3.35:,Temporarily Unavailable
83,Киви,1396,56,Фрукты,Отличается высоким уровнем биологической доступности питательных веществ.,2005-05-01,2029-02-11,1.87:,Cancelled
84,Квас хлебный,9983,900,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1991-06-11,2019-05-19,0.04:,Temporarily Unavailable
85,Брынза,6603,195,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1994-05-02,2027-01-01,4.77:,Cancelled
86,Варенец,3277,248,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,2011-05-07,2018-03-03,1.12:,Awaiting Review
87,Щелковская,4745,744,Напитки,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2003-03-11,2025-02-02,2.66:,Pending
88,Миргородская,6828,741,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2008-04-05,2022-06-05,2.74:,New
89,Рамбутан,8037,481,Фрукты,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2014-05-06,2022-02-08,2.15:,New
90,Моющее средство для посуды,8976,609,Товары для дома,Подходит для использования в рецептах традиционной кухни разных стран.,2010-06-02,2020-09-18,2.46:,Delivered
91,Манго,3637,471,Фрукты,Помогает поддерживать нормальный уровень гормонов в организме.,1993-01-13,2024-03-11,0.47:,In Stock
92,Тыквенные семечки,3391,413,Бакалея,"Помогает улучшить состояние волос, ногтей и кожи.",2003-03-04,2012-11-04,3.71:,Sold
93,Нафтуся,9561,566,Напитки,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2010-01-01,2015-04-18,0.43:,Shipping
94,Соевый напиток,3531,704,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1999-04-08,2026-01-06,4.79:,Pending
95,Верблюжье молоко,5739,551,Молочные продукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2012-08-02,2030-06-09,3.69:,Out of Stock
96,Буррито с мясом,2396,920,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2016-04-01,2028-06-04,0.58:,Pending
97,Помело,4136,99,Фрукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2002-07-16,2021-01-03,3.96:,Out of Stock
98,Черешня,3754,193,Фрукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",1997-05-24,2010-03-15,0.38:,In Stock
99,Конфи,1625,290,Мясо,Помогает поддерживать оптимальный вес и форму тела.,1991-01-04,1997-01-03,2.54:,Sold
100,Ряженка,1569,941,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2014-09-08,2029-01-04,1.33:,Shipping
101,Айва,858,577,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2001-05-20,2009-02-01,1.94:,Sold
102,Каша из дробленной манной крупы,7134,22,Бакалея,Помогает поддерживать здоровый цвет лица и упругость кожи.,1995-01-05,2008-07-05,4.56:,Backorder
103,Свекла,2682,672,Овощи,Является важным компонентом сбалансированного рациона питания.,2022-03-05,2028-01-06,2.45:,Backorder
104,Пакеты пластиковые,630,126,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2008-01-06,2021-02-06,3.12:,Delivered
105,Ласси,7912,134,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2014-03-22,2018-02-02,2.39:,In Stock
106,Кокос,4469,496,Фрукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2007-02-05,2009-03-01,4.49:,Cancelled
107,Рагу,1480,836,Мясо,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2015-05-06,2030-04-04,4.37:,In Stock
108,Редис,1737,30,Овощи,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2017-09-14,2028-03-10,4.09:,Awaiting Review
109,Консервный нож,8494,57,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2001-01-11,2023-04-01,4.07:,Delivered
110,Ласси,6426,307,Молочные продукты,Подходит для людей с чувствительным пищеварением.,2002-02-12,2030-04-14,4.57:,In Stock
111,Щавель,7732,819,Овощи,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2011-03-13,2024-01-07,3.9:,In Stock
112,Куркума молотая,8439,160,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,2014-07-01,2020-02-09,1.42:,Shipping
113,Брокколи,5529,824,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,2013-01-21,2013-09-01,3.56:,On Backorder
114,Каймак,910,445,Молочные продукты,Отличается высоким уровнем биологической доступности питательных веществ.,2018-01-01,2029-04-01,1.78:,Sold
115,Сельдерей,492,3,Овощи,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2008-01-10,2019-05-04,2.35:,New
116,Пакеты для подарков,1914,217,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1994-10-01,2010-05-01,1.38:,Returned
