artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Philip George;Wish You Were Mine - Radio Edit;177560;2014;123.002;pop, Dance/Electronic;0.832;7;-4.164
Chamillionaire;Ridin';303053;2005;143.052;hip hop, pop;0.799;8;-4.68
Nelly;Grillz;271160;2005;82.996;hip hop, pop, R&B;0.504;4;-7.737
The Pussycat Dolls;Don't Cha;272080;2005;120.003;pop, R&B;0.631;1;-3.475
Rihanna;Umbrella;275986;2008;174.028;hip hop, pop, R&B;0.829;1;-4.603
Sia;Cheap Thrills (feat. Sean Paul);224813;2016;89.972;pop;0.8;6;-4.931
Skrillex;Bangarang (feat. Sirah);215253;2011;110.026;hip hop, pop, Dance/Electronic;0.972;7;-2.302
Florence + The Machine;Spectrum (Say My Name) - Calvin Harris Remix;218190;2011;126.092;rock, pop, Dance/Electronic;0.946;11;-3.85
Rita Ora;I Will Never Let You Down;203466;2014;128.011;hip hop, pop, Dance/Electronic;0.801;4;-3.215
OneRepublic;Wherever I Go;169773;2016;99.961;pop;0.689;10;-6.444
Enya;Only Time;218546;2000;82.803;World/Traditional, Folk/Acoustic;0.249;3;-13.744
Daniel Powter;Bad Day;233640;2005;140.046;pop;0.785;3;-4.013
One Direction;Perfect;230333;2015;99.933;pop;0.823;2;-5.231
Icona Pop;I Love It (feat. Charli XCX);157152;2013;125.916;pop, Dance/Electronic;0.906;8;-2.671
The Chainsmokers;Don't Let Me Down;208373;2016;159.803;pop, Dance/Electronic;0.869;11;-5.094
Rihanna;S&M;243533;2010;127.975;hip hop, pop, R&B;0.682;1;-5.02
Ed Sheeran;Thinking out Loud;281560;2014;78.998;pop;0.445;2;-6.061
Zara Larsson;Ain't My Fault;224030;2017;141.153;pop, Dance/Electronic;0.782;6;-4.825
Ne-Yo;Closer;234360;2008;126.027;pop, R&B;0.745;4;-6.437
Robin Schulz;Sugar (feat. Francesco Yates);219043;2015;123.063;pop, Dance/Electronic;0.815;5;-5.098
Nelly;Ride Wit Me;291781;2000;101.875;hip hop, pop, R&B;0.7;7;-6.49
The Weeknd;The Hills;242253;2015;113.003;pop, R&B;0.564;0;-7.063
Lil Wayne;A Milli;221840;2008;151.486;hip hop, pop;0.695;6;-8.636
The Ting Tings;Shut Up and Let Me Go;171226;2007;107.993;pop, rock, Dance/Electronic;0.927;7;-4.497
T.I.;Live Your Life;338853;2008;159.841;hip hop, pop;0.862;11;-3.363
Rihanna;Only Girl (In The World);235493;2010;125.906;hip hop, pop, R&B;0.716;11;-4.241
3 Doors Down;Here Without You;238733;2002;143.994;pop, rock, metal;0.533;10;-6.817
Young T & Bugsey;Strike a Pose (feat. Aitch);214203;2019;137.776;hip hop;0.581;1;-5.801
Calvin Harris;Sweet Nothing (feat. Florence Welch);212560;2012;127.934;hip hop, pop, Dance/Electronic;0.929;8;-3.942
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;217120;2001;131.044;Dance/Electronic;0.877;2;-5.424
Christina Aguilera;Fighter;245960;2002;188.899;pop;0.92;4;-1.357
Black Eyed Peas;Let's Get It Started - Spike Mix;217733;2004;104.923;hip hop, pop;0.799;11;-2.208
Lana Del Rey;Lust for Life (with The Weeknd);264011;2017;99.979;pop;0.676;0;-8.618
Katy Perry;Teenage Dream;227741;2010;120.011;pop;0.798;10;-4.582
Madison Avenue;Don't Call Me Baby;228140;1999;124.999;Dance/Electronic;0.982;3;-6.588
Natalie La Rose;Somebody;189906;2014;104.99;set();0.52;0;-8.714
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);172240;2002;93.401;hip hop, pop, R&B;0.69;10;-4.382
Cheryl;Fight For This Love;223253;2009;122.988;pop, Dance/Electronic;0.741;7;-5.873
iio;Rapture (feat.Nadia Ali);253586;2006;123.943;Dance/Electronic;0.855;8;-8.403
Tinchy Stryder;Number 1;212773;2009;114.912;pop, Dance/Electronic;0.824;0;-3.912
Mark Ronson;Uptown Funk (feat. Bruno Mars);269666;2015;114.988;pop;0.609;0;-7.223
No Doubt;Hey Baby;207040;2001;93.63;rock, pop;0.872;11;-3.557
Trillville;Some Cut;283454;2004;84.995;hip hop, pop;0.515;1;-6.626
Klaxons;Golden Skans;165120;2007;141.955;rock;0.836;2;-2.776
Enrique Iglesias;Escape;208626;2001;125.972;pop, latin;0.844;11;-5.305
T-Pain;Can't Believe It (feat. Lil' Wayne);273826;2008;89.828;hip hop, pop, R&B;0.516;10;-8.869
Stormzy;Vossi Bop;196266;2019;188.115;hip hop, Dance/Electronic;0.653;8;-6.062
J-Kwon;Tipsy - Club Mix;247106;2001;93.04;hip hop, pop;0.741;9;-5.827
N.E.R.D;She Wants To Move;213786;2004;115.012;hip hop;0.851;5;-4.831
Wale;Bad (feat. Rihanna) - Remix;238826;2013;114.038;hip hop, pop, R&B;0.702;6;-6.594
Gabrielle;Out Of Reach;196986;2001;182.862;pop, R&B;0.48;11;-6.567
Ariana Grande;Dangerous Woman;235946;2016;134.052;pop;0.604;7;-5.32
Chris Brown;Fine China;213666;2013;104.038;hip hop, pop, R&B;0.735;10;-4.758
Little Mix;Shout Out to My Ex;246240;2017;126.014;pop;0.747;5;-4.061
Selena Gomez;The Heart Wants What It Wants;227360;2014;83.066;pop;0.789;7;-4.874
Jason Derulo;It Girl;192200;2011;91.993;hip hop, pop;0.718;1;-4.736
girl in red;we fell in love in october;184153;2018;129.959;pop, rock, Dance/Electronic;0.366;7;-12.808
Ida Corr;Let Me Think About It;151973;2012;129.026;set();0.754;0;-3.425
Madonna;4 Minutes (feat. Justin Timberlake & Timbaland);189693;2009;113.029;pop;0.931;2;-4.922
Post Malone;Better Now;231266;2018;145.038;hip hop;0.578;10;-5.804
Cardi B;Money;183527;2018;130.003;hip hop, pop;0.59;8;-6.508
David Guetta;Bang My Head (feat. Sia & Fetty Wap);193333;2015;108.061;hip hop, pop, Dance/Electronic;0.869;0;-3.697
Bad Bunny;Callaita;250533;2019;176.169;latin;0.624;2;-4.773
The Notorious B.I.G.;Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster;286186;2005;106.328;hip hop;0.628;2;-7.041
Vance Joy;Riptide;204280;2014;101.654;rock, pop;0.731;1;-6.694
Jonas Blue;Perfect Strangers;196613;2016;117.986;pop, Dance/Electronic;0.819;1;-5.307
Bow Wow;Outta My System (feat. T-Pain & Johntá Austin);238266;2006;83.998;hip hop, pop, R&B;0.59;6;-6.957
3OH!3;My First Kiss (feat. Ke$ha);192440;2010;138.021;hip hop, pop, rock;0.889;0;-4.166
Professor Green;Read All About It;235735;2011;100.963;Dance/Electronic;0.752;11;-5.522
Ava Max;So Am I;183026;2019;130.089;pop;0.656;6;-4.67
G-Eazy;No Limit;245386;2017;175.957;hip hop, pop;0.771;1;-3.791
DJ Ötzi;Hey Baby (Radio Mix);219240;2010;135.099;pop, easy listening, Dance/Electronic;0.968;10;-3.196
Tamia;Stranger in My House;285386;2000;119.94;pop, R&B;0.601;0;-4.905
Jay Sean;Down;212106;2009;65.997;hip hop, pop, R&B;0.695;2;-4.493
Bastille;Of The Night;214205;2013;125.01;pop, rock;0.829;5;-7.2
Ellie Goulding;Burn;231211;2014;87.016;pop, rock, Dance/Electronic;0.777;1;-5.031
Adele;Skyfall;286480;2012;75.881;pop, R&B;0.552;0;-6.864
Zara Larsson;I Would Like;226720;2017;121.028;pop, Dance/Electronic;0.713;2;-3.949
Chris Brown;Deuces (feat. Tyga & Kevin McCall);276560;2011;73.987;hip hop, pop, R&B;0.736;1;-5.109
Imagine Dragons;Demons;177506;2012;89.938;rock;0.71;3;-3.015
Jamiroquai;Little L;295400;2001;121.906;pop;0.724;10;-5.373
Outkast;Ms. Jackson;270506;2000;94.948;hip hop, pop;0.806;4;-5.946
Lil Wayne;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);243490;2016;169.021;hip hop, pop;0.786;9;-4.378
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];213133;2001;129.078;Dance/Electronic;0.922;0;-8.399
Nickelback;How You Remind Me;223840;2001;172.094;rock, metal;0.764;10;-5.042
Sisqo;Thong Song;253733;1999;121.549;hip hop, pop, R&B;0.888;2;-6.959
Drake;Hotline Bling;267066;2016;134.96;hip hop, pop, R&B;0.62;2;-8.094
Tove Lo;Cool Girl;197815;2016;101.983;pop, Dance/Electronic;0.71;9;-7.042
Migos;T-Shirt;242407;2017;139.023;hip hop, pop;0.687;10;-3.744
Aloe Blacc;I Need A Dollar;243053;2010;95.498;R&B;0.482;6;-7.116
Avicii;Waiting For Love;230613;2015;127.999;pop, Dance/Electronic;0.736;6;-3.863
Coldplay;Viva La Vida;242373;2008;138.015;rock, pop;0.617;5;-7.115
B.o.B;Airplanes (feat. Hayley Williams of Paramore);180480;2010;93.033;hip hop, pop;0.867;6;-4.285
Chris Brown;Beautiful People;225881;2019;127.898;hip hop, pop, R&B;0.775;5;-6.366
Jeremih;oui;238320;2015;78.521;hip hop, pop, R&B;0.724;5;-3.724
Sean Kingston;Beautiful Girls;225373;2007;130.009;hip hop, pop, R&B;0.661;1;-6.075
Jay Sean;Eyes On You - Radio Mix;190493;2004;96.525;hip hop, pop, R&B;0.672;7;-4.971
Paramore;Misery Business;211520;2007;172.977;pop, rock;0.906;1;-3.677
Jason Derulo;Wiggle (feat. Snoop Dogg);193295;2013;81.946;hip hop, pop;0.621;9;-6.886
Charlie Puth;Dangerously;199133;2016;112.291;pop;0.517;2;-8.379
Eminem;The Monster;250188;2013;110.049;hip hop;0.853;1;-3.68
Justin Timberlake;LoveStoned / I Think She Knows (Interlude);444333;2006;121.243;pop;0.681;1;-6.247
Kaiser Chiefs;Everyday I Love You Less And Less;217706;2005;160.028;rock;0.956;1;-4.556
T-Pain;Buy U a Drank (Shawty Snappin') (feat. Yung Joc);227960;2007;80.001;hip hop, pop, R&B;0.55;1;-8.137
Avicii;Without You (feat. Sandro Cavazza);181672;2017;133.993;pop, Dance/Electronic;0.858;2;-4.844
Mike Posner;I Took A Pill In Ibiza - Seeb Remix;197933;2016;101.969;hip hop, pop, Dance/Electronic;0.714;7;-6.645
Alexandra Stan;Mr. Saxobeat;195105;2011;126.976;pop, Dance/Electronic;0.931;11;-4.152
Coldplay;Hymn for the Weekend;258266;2015;90.027;rock, pop;0.693;0;-6.487
Nelly;Hey Porsche;209466;2013;115.995;hip hop, pop, R&B;0.795;9;-4.653
Liam Payne;Strip That Down;204502;2017;106.028;pop;0.485;6;-5.595
Simply Red;Sunrise;199040;2008;105.987;rock, R&B, Folk/Acoustic, pop;0.733;5;-5.123
Calvin Harris;I Need Your Love (feat. Ellie Goulding);234506;2012;124.989;hip hop, pop, Dance/Electronic;0.869;8;-5.066
Petit Biscuit;Sunset Lover;237792;2015;90.838;Dance/Electronic;0.467;6;-9.474
So Solid Crew;21 Seconds;302826;2001;137.03;Dance/Electronic;0.637;1;-11.072
Lloyd;Southside;277840;2004;75.007;hip hop, pop, R&B;0.404;9;-9.481
Craig David;Don't Love You No More (I'm Sorry);243986;2005;100.113;hip hop, pop, R&B;0.558;7;-7.076
All Saints;Pure Shores;268746;2000;100.618;pop;0.664;6;-9.197
DaBaby;Suge;163320;2019;75.445;hip hop;0.662;2;-6.482
Alexandra Burke;Hallelujah;217826;2009;182.571;pop;0.425;2;-6.211
Enrique Iglesias;Be With You;219360;1999;121.996;pop, latin;0.866;1;-5.436
Kygo;Firestone;271640;2016;113.927;pop, Dance/Electronic;0.634;11;-7.374
Ariana Grande;Into You;244453;2016;107.853;pop;0.734;9;-5.948
Cardi B;Please Me;200889;2019;133.992;hip hop, pop;0.57;1;-6.711
David Guetta;Titanium (feat. Sia);245040;2012;126.062;hip hop, pop, Dance/Electronic;0.787;0;-3.674
Tom Odell;Another Love;244360;2013;122.769;pop;0.537;4;-8.532
Justin Bieber;Baby;214240;2010;65.043;pop;0.859;5;-5.237
Chris Brown;Kiss Kiss (feat. T-Pain);250666;2007;140.043;hip hop, pop, R&B;0.658;10;-3.386
Rihanna;Where Have You Been;242680;2011;127.963;hip hop, pop, R&B;0.847;0;-6.34
Kid Cudi;Day 'N' Nite (Nightmare);221240;2009;138.018;hip hop;0.443;11;-6.359
The Weeknd;I Feel It Coming;269186;2016;92.987;pop, R&B;0.819;0;-5.946
Matchbox Twenty;Bent;256133;2000;95.468;pop, rock;0.83;6;-6.814
Usher;U Don't Have to Call;269400;2001;100.005;hip hop, pop, R&B;0.568;1;-4.958
Florida Georgia Line;Cruise;208960;2012;148.0;country;0.948;10;-3.364
Demi Lovato;Cool for the Summer;214746;2015;114.101;pop;0.613;5;-5.593
Nickelback;Rockstar;252040;2005;144.072;rock, metal;0.91;0;-3.004
A1;Caught in the Middle;206466;2001;96.072;pop;0.874;5;-5.122
Shayne Ward;That's My Goal;219600;2006;68.637;pop;0.508;2;-5.966
Savage Garden;Crash and Burn;281466;1999;102.03;pop;0.607;4;-8.458
MNEK;Never Forget You;213427;2015;145.992;Dance/Electronic;0.732;11;-5.728
Russ Millions;Keisha & Becky - Remix;252906;2019;140.969;pop;0.471;6;-9.545
MK;17;196489;2017;122.029;pop, Dance/Electronic;0.832;0;-7.202
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);263773;2010;131.497;hip hop, pop;0.595;1;-6.366
Ruff Endz;No More;242560;2000;97.004;R&B;0.641;10;-5.669
Ciara;Oh (feat. Ludacris);256346;2004;128.29;pop, R&B;0.496;7;-7.135
Childish Gambino;3005;235662;2013;82.92;hip hop;0.463;6;-6.542
Neon Trees;Animal;212306;2010;147.99;rock, pop;0.829;5;-5.576
Robbie Williams;Rock DJ;258560;2000;103.035;pop, rock;0.772;7;-4.264
Gotye;Somebody That I Used To Know;244884;2011;129.054;set();0.527;0;-6.896
Iyaz;Replay;182306;2009;91.031;hip hop, pop;0.751;9;-6.323
Selena Gomez & The Scene;Love You Like A Love Song;188453;2011;117.009;pop, Dance/Electronic;0.678;1;-3.87
Wiz Khalifa;See You Again (feat. Charlie Puth);229525;2015;80.025;hip hop, pop;0.481;10;-7.503
David Guetta;Bad (feat. Vassy) - Radio Edit;170625;2014;127.966;hip hop, pop, Dance/Electronic;0.972;5;-3.927
Rich The Kid;Plug Walk;175229;2018;94.981;hip hop, pop;0.519;11;-6.531
Rita Ora;How We Do (Party);247026;2012;116.024;hip hop, pop, Dance/Electronic;0.922;7;-3.94
Fabolous;Into You (feat. Tamia);295773;2003;182.12;hip hop, pop, R&B;0.538;7;-7.886
Illy;Papercuts (feat. Vera Blue);255889;2016;191.863;hip hop, pop, Dance/Electronic;0.618;6;-6.304
Playboi Carti;Magnolia;181812;2017;162.991;hip hop;0.582;11;-7.323
Mary J. Blige;Just Fine;242133;2007;123.021;pop, R&B;0.795;11;-3.61
Lana Del Rey;Ride;289080;2012;93.763;pop;0.686;0;-5.52
The Chainsmokers;Something Just Like This;247160;2017;103.019;pop, Dance/Electronic;0.635;11;-6.769
Scooter;Nessaja;208449;2013;143.048;pop, Dance/Electronic;0.904;2;-6.642
Kandi;Don't Think I'm Not;243533;2000;134.007;pop, R&B;0.622;11;-8.196
Bryson Tiller;Don't;198293;2015;96.991;hip hop, pop, R&B;0.356;11;-5.556
Gavin DeGraw;In Love With a Girl;206000;2008;161.905;pop, Folk/Acoustic;0.906;3;-4.8
ScHoolboy Q;Hands on the Wheel (feat. Asap Rocky);197131;2012;127.839;hip hop, pop;0.784;1;-7.471
Ludacris;How Low;201586;2010;143.96;hip hop, pop;0.498;1;-6.977
Justin Bieber;Sorry;200786;2015;99.945;pop;0.76;0;-3.669
3 Doors Down;Let Me Go;243053;2012;92.004;pop, rock, metal;0.863;1;-4.914
Jason Derulo;Whatcha Say;221253;2010;144.036;hip hop, pop;0.711;11;-5.507
Creed;With Arms Wide Open;274800;1999;138.852;pop, rock, metal;0.539;0;-8.412
Katy Perry;Part Of Me;216160;2012;130.028;pop;0.918;5;-4.63
Coldplay;Paradise;278719;2011;139.631;rock, pop;0.585;5;-6.761
Craig David;7 Days;235133;2000;83.014;hip hop, pop, R&B;0.812;4;-7.499
D4L;Laffy Taffy;224253;2005;77.499;hip hop, pop;0.439;7;-7.994
Garrett Nash;i hate u, i love u (feat. olivia o'brien);251033;2016;92.6;hip hop, pop;0.275;6;-13.4
Ashley O;On A Roll;154447;2019;125.011;set();0.81;5;-6.354
Usher;Caught Up;224640;2004;110.086;hip hop, pop, R&B;0.806;6;-4.606
Jason Derulo;Ridin' Solo;215746;2010;89.338;hip hop, pop;0.83;9;-4.02
Migos;Bad and Boujee (feat. Lil Uzi Vert);343150;2017;127.079;hip hop, pop;0.666;11;-5.314
Daft Punk;One More Time;320357;2001;122.746;hip hop, Dance/Electronic;0.697;2;-8.618
Alan Walker;Faded;212106;2018;179.642;Dance/Electronic;0.627;6;-5.085
Estelle;American Boy;284733;2008;117.932;R&B;0.729;0;-2.99
AWOLNATION;Sail;259102;2011;119.038;pop, rock;0.435;1;-9.582
Sidney Samson;Riverside;320348;2009;125.997;Dance/Electronic;0.976;1;-2.458
P!nk;True Love (feat. Lily Allen);230733;2012;192.205;pop;0.823;9;-4.76
Outkast;The Way You Move (feat. Sleepy Brown);234000;2003;125.999;hip hop, pop;0.597;5;-4.932
Ciara;Love Sex Magic (feat. Justin Timberlake);220426;2009;107.011;pop, R&B;0.666;10;-5.089
Flo Rida;Whistle;224653;2012;103.976;hip hop, pop;0.937;0;-5.746
Kendrick Lamar;DNA.;185946;2017;139.928;hip hop;0.517;0;-6.759
Da Brat;What'chu Like (feat. Tyrese);221160;2000;99.974;hip hop, pop, R&B;0.681;10;-8.951
Ray J;Sexy Can I feat. Yung Berg;204040;2008;172.155;hip hop, pop, R&B;0.684;1;-6.007
Ricky Martin;She Bangs - English Version;280626;2000;143.866;pop, latin;0.95;1;-4.012
Nick Jonas;Jealous - Remix;222213;2014;93.047;pop;0.709;11;-3.578
Billie Eilish;bad guy;194087;2019;135.128;pop, Dance/Electronic;0.425;7;-10.965
Ludacris;My Chick Bad;216933;2010;84.789;hip hop, pop;0.723;1;-6.782
Wiley;Wearing My Rolex - Radio Edit;170480;2008;131.942;hip hop, Dance/Electronic;0.716;1;-6.884
Adele;Someone Like You;285240;2011;135.047;pop, R&B;0.321;9;-8.251
Bow Wow;Let Me Hold You (feat. Omarion);248493;2005;151.518;hip hop, pop, R&B;0.662;6;-8.244
Avicii;Hey Brother;255093;2013;125.014;pop, Dance/Electronic;0.78;7;-4.867
Alex & Sierra;Little Do You Know;185200;2014;145.879;pop;0.292;0;-8.554
Gym Class Heroes;Ass Back Home (feat. Neon Hitch);222213;2011;130.034;hip hop, pop;0.838;10;-4.289
Alicia Keys;A Woman's Worth;303333;2001;75.09;pop, R&B;0.41;4;-8.323
Meck;Thunder in My Heart Again (Radio Edit);189800;2005;129.016;set();0.922;2;-4.67
Migos;MotorSport;303076;2018;137.996;hip hop, pop;0.518;2;-5.32
Jessie J;Price Tag;223053;2011;175.015;hip hop, pop;0.831;5;-3.945
Robin Thicke;Blurred Lines;263053;2013;120.0;pop, R&B;0.504;7;-7.707
Nickelback;Savin' Me;219320;2005;164.007;rock, metal;0.815;3;-4.088
Drake;Over;233560;2010;100.093;hip hop, pop, R&B;0.848;7;-5.611
Kesha;We R Who We R;204760;2010;119.95;pop, Dance/Electronic;0.817;8;-4.9
Fat Joe;Make It Rain;247413;2006;149.28;hip hop, pop;0.697;11;-5.063
Tiësto;Jackie Chan;215759;2018;128.005;pop, Dance/Electronic;0.834;3;-2.867
Ray J;One Wish;337640;2005;127.673;hip hop, pop, R&B;0.652;5;-7.042
Lily Allen;Smile;196893;2006;95.506;pop;0.639;5;-5.938
LeAnn Rimes;I Need You;229826;2001;144.705;pop, country;0.736;7;-7.124
LMC;Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit;171546;2004;128.658;Dance/Electronic;0.905;6;-5.395
Alesha Dixon;The Boy Does Nothing;210680;2008;87.0;pop;0.972;3;-2.423
Dua Lipa;New Rules;212000;2017;116.01;pop;0.72;9;-5.181
Madonna;Die Another Day;276360;2003;123.993;pop;0.797;0;-5.166
DJ Snake;You Know You Like It;247266;2014;196.093;hip hop, pop, Dance/Electronic;0.725;5;-5.346
Kelly Clarkson;Because of You;219493;2004;139.92;pop, R&B;0.583;5;-5.284
Lil Tecca;Ransom;131240;2019;179.974;hip hop;0.642;7;-6.257
Kesha;TiK ToK;199693;2010;120.028;pop, Dance/Electronic;0.837;2;-2.718
Charlie Puth;Done for Me (feat. Kehlani);180493;2018;112.009;pop;0.632;6;-3.692
Puddle Of Mudd;She Hates Me;216760;2001;109.781;rock, metal;0.748;4;-5.433
Red Hot Chili Peppers;Dani California;282160;2006;96.184;rock;0.913;0;-2.36
Alicia Keys;Karma;256000;2003;85.098;pop, R&B;0.736;10;-6.203
Kelly Rowland;Work;207920;2010;102.757;hip hop, pop, R&B;0.823;10;-6.351
Vanessa Carlton;A Thousand Miles;237493;2002;94.931;Folk/Acoustic, pop;0.825;11;-3.862
Nelly;Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster;293666;2016;87.025;hip hop, pop, R&B;0.808;1;-4.749
Boys Like Girls;Love Drunk;226706;2009;150.005;pop;0.976;10;-3.17
Rag'n'Bone Man;Skin;239626;2017;170.661;R&B;0.745;0;-7.733
Olly Murs;Heart Skips a Beat (feat. Rizzle Kicks);202266;2011;110.621;pop, Dance/Electronic;0.881;9;-3.951
MGMT;Little Dark Age;299960;2018;97.512;rock;0.712;6;-6.156
A Boogie Wit da Hoodie;Drowning (feat. Kodak Black);209269;2017;129.014;hip hop;0.81;5;-5.274
Selena Gomez;Good For You;221560;2015;88.928;pop;0.676;5;-6.447
Lloyd;Get It Shawty;209533;2007;128.014;hip hop, pop, R&B;0.905;5;-4.032
Clean Bandit;Tears (feat. Louisa Johnson);225914;2016;130.037;pop, Dance/Electronic;0.77;5;-3.645
Nelly;Air Force Ones;304000;2002;164.062;hip hop, pop, R&B;0.459;4;-9.74
Otto Knows;Million Voices - Radio Edit;192866;2012;125.946;pop, Dance/Electronic;0.894;8;-6.298
Katy Perry;I Kissed A Girl;179640;2008;129.996;pop;0.76;5;-3.173
Soulja Boy;Turn My Swag On;206333;2008;150.154;hip hop, pop;0.712;3;-3.104
Kelis;Trick Me;206106;2003;107.17;pop, R&B, Dance/Electronic;0.72;1;-3.347
Jason Derulo;In My Head;199026;2010;110.009;hip hop, pop;0.748;0;-4.15
Iggy Azalea;Black Widow;209423;2014;163.99;hip hop, pop;0.72;11;-3.753
Sam Smith;How Do You Sleep?;202204;2019;110.567;pop;0.682;1;-4.931
Mark Ronson;Valerie (feat. Amy Winehouse) - Version Revisited;219413;2007;105.828;pop;0.844;1;-4.789
Sebastian Ingrosso;Reload - Radio Edit;221272;2013;128.045;pop, Dance/Electronic;0.724;9;-4.633
Sam Smith;Too Good At Goodbyes;201000;2017;91.873;pop;0.372;5;-8.237
Eric Prydz;Call on Me - Radio Mix;171360;2004;126.342;pop, Dance/Electronic;0.837;10;-6.518
The Band Perry;If I Die Young;222773;2010;130.739;country;0.497;4;-6.611
The Lumineers;Ophelia;160097;2016;76.026;pop, Folk/Acoustic;0.576;5;-6.429
The Chainsmokers;Sick Boy;193200;2018;89.996;pop, Dance/Electronic;0.577;11;-7.518
James Morrison;I Won't Let You Go;229303;2011;105.955;pop, R&B;0.611;0;-6.427
Katy Perry;Firework;227893;2010;124.071;pop;0.832;8;-5.039
George Michael;Amazing;265826;2004;128.429;set();0.754;10;-6.825
Backstreet Boys;Incomplete;239586;2005;133.631;pop;0.589;4;-4.834
Stromae;Alors on danse - Radio Edit;206066;2010;119.951;pop;0.59;1;-9.206
Keri Hilson;Turnin Me On - Original Dirty;248066;2008;159.873;pop, R&B;0.584;1;-5.09
Mystikal;Shake Ya Ass;256973;2000;98.054;hip hop, pop;0.607;7;-5.658
Taio Cruz;Dynamite;202613;2010;119.975;hip hop, pop;0.783;4;-3.724
James Blunt;You're Beautiful;209493;2005;81.998;pop;0.479;0;-9.87
Christina Aguilera;Ain't No Other Man;228906;2006;127.91;pop;0.742;7;-4.722
John Legend;All of Me;269560;2013;119.93;pop, R&B;0.264;8;-7.064
Train;Drops of Jupiter (Tell Me);259933;2001;79.064;pop;0.638;0;-5.862
Post Malone;Psycho (feat. Ty Dolla $ign);221440;2018;140.06;hip hop;0.56;8;-8.094
Holly Valance;Kiss Kiss;204400;2002;97.036;pop, Dance/Electronic;0.717;4;-4.944
Fall Out Boy;Dance, Dance;180266;2005;114.452;rock;0.961;11;-3.198
Linkin Park;New Divide;268613;2009;117.971;rock, metal;0.808;5;-3.365
Nickelback;Gotta Be Somebody;252653;2008;115.998;rock, metal;0.89;0;-5.222
Drake;Jumpman;205879;2015;142.079;hip hop, pop, R&B;0.553;1;-7.286
Cheat Codes;No Promises (feat. Demi Lovato);223503;2017;112.956;pop, Dance/Electronic;0.667;10;-5.445
Joel Corry;Sorry;188640;2019;125.002;pop, Dance/Electronic;0.79;8;-4.617
Carrie Underwood;Blown Away;240133;2012;136.991;pop, country;0.843;9;-2.569
Flume;Never Be Like You;233337;2016;116.838;Dance/Electronic;0.558;0;-5.436
Avril Lavigne;Girlfriend;216600;2007;163.983;pop;0.959;7;-2.433
Sammie;I Like It;251040;2000;129.963;hip hop, pop, R&B;0.656;9;-8.529
Calvin Harris;Bounce (feat. Kelis) - Radio Edit;222186;2012;127.941;hip hop, pop, Dance/Electronic;0.963;2;-2.125
Calvin Harris;Outside (feat. Ellie Goulding);227266;2014;128.035;hip hop, pop, Dance/Electronic;0.823;2;-4.123
Lorde;Team;193058;2013;100.05;pop, Dance/Electronic;0.582;6;-7.444
Sam Smith;Dancing With A Stranger (with Normani);171029;2019;102.998;pop;0.52;8;-7.513
Britney Spears;Till the World Ends;237946;2011;131.951;pop;0.705;8;-5.747
Maluma;Corazón (feat. Nego do Borel);184720;2018;198.075;latin;0.738;9;-6.073
Cascada;Everytime We Touch - Radio Edit;199120;2011;142.019;hip hop, pop, Dance/Electronic;0.977;8;-5.369
Robbie Williams;Radio;233600;2004;130.015;pop, rock;0.874;5;-5.409
The Roots;The Seed (2.0);267933;2002;111.121;hip hop;0.957;7;-2.281
